Date,Time,Open,High,Low,Close,Volume
1/23/2017,12:27:00,8381.7,8382.4,8381,8381,12525
1/23/2017,12:28:00,8381.8,8381.8,8380.2,8381.5,11400
1/23/2017,12:29:00,8381.5,8381.6,8380.05,8380.05,14550
1/23/2017,12:30:00,8380.05,8381.05,8379,8379.6,7950
1/23/2017,12:31:00,8379.6,8380.4,8379.05,8380.05,17850
1/23/2017,12:32:00,8379.2,8380.95,8374,8374.5,130050
1/23/2017,12:33:00,8373.6,8375.55,8372.2,8375.25,24375
1/23/2017,12:34:00,8375.1,8375.5,8371.05,8373.15,40800
1/23/2017,12:35:00,8373.1,8374.95,8372.8,8373.3,22275
1/23/2017,12:36:00,8373.3,8378.15,8373.3,8376,30525
1/23/2017,12:37:00,8376.6,8377.8,8375,8377.25,16650
1/23/2017,12:38:00,8377.05,8377.95,8375.15,8376.05,24300
1/23/2017,12:39:00,8376.05,8377.9,8375.2,8377.4,12075
1/23/2017,12:40:00,8377.4,8377.6,8375,8375,24675
1/23/2017,12:41:00,8375,8375.9,8371.65,8372.55,27900
1/23/2017,12:42:00,8373.75,8374.05,8371.65,8371.65,18750
1/23/2017,12:43:00,8371.85,8371.85,8366.55,8367.1,69000
1/23/2017,12:44:00,8368.05,8372.35,8367.65,8371.9,28275
1/23/2017,12:45:00,8371.95,8372.9,8370.5,8371.95,19500
1/23/2017,12:46:00,8372,8372.5,8368.9,8369.05,18000
1/23/2017,12:47:00,8370,8370.8,8369.85,8370,6975
1/23/2017,12:48:00,8370,8370.95,8368.3,8368.3,18150
1/23/2017,12:49:00,8368.1,8370.9,8366.45,8370.9,23775
1/23/2017,12:50:00,8370.8,8370.8,8365.6,8365.6,24300
1/23/2017,12:51:00,8365.65,8367.1,8365,8366.8,32025
1/23/2017,12:52:00,8367.55,8369.35,8367.55,8368.75,15000
1/23/2017,12:53:00,8369.8,8369.8,8368.1,8368.85,16800
